appid,name
776340,Gay World
776580,Abasralsa
775860,Midnightland
776100,One Night On The Road
775520,Animals Memory: Dinosaurs
775620,Fight or Flight
774811,YUMENIKKI -DREAM DIARY-
774541,"Species: Artificial Life, Real Evolution"
774221,Nekomew's Potty Trouble
774321,STARBO - The Story of Leo Cornell
774361,Blasphemous
773180,Glukhovo
773310,Spook Inspectors Investigate Morleyville Mall Demo
773420,Panacea: Last Will
773460,Pupil: Wandering VR
773090,Lucid Dream
772670,Beyond the Invisible: Darkness Came
772290,Rainswept
771470,Stage Fright
771100,Talk to Saki
771210,Welcome to Hanwell Demo
771400,ESCAPE FROM VOYNA:  Tactical FPS survival
770390,Draugen
770490,Death in the Water
769690,Reading Simulator
769840,Muddledash
769360,Harts
769340,Zomby Soldier
769060,Dab on 'em Haterz
768450,NUTS
767890,Rocking Gaming Hello Neighbor OST
767110,Anime Girls VR
767130,Virtual Reality Girls 2
767050,Last Day of FEAR
766730,Gachimuchi Reloaded
766150,The Tension
765710,Light Bearers
765930,Follia - Dear Father VR
765080,OM6N Demo
765090,Kojou
765180,SCP-087: Recovered document
765100,Labirinto
765210,Your Royal Gayness
765290,Alien Food Frenzy
765410,Bean Battles
764920,Fear the Night
764500,Deep Dark Fight
763230,Fruity Smoothie
763250,The Spectrum Retreat
763300,♛ GAME TUBE ♛
763410,Long Live Santa!
763470,Oats Studios - Volume 1: ADAM: Episode 3
762520,Demon Hunter 4: Riddles of Light
761620,Beholder 2
761630,akda
761640,Home Darkness - Escape
761070,Garden of Oblivion
761680,Broken Reality Demo
761180,Pumpkin Spice
760890,Hello Charlotte: Childhood's End
760120,YourToy
760190,ZomDay Demo
760550,kakusankibou / 扩散希望
759870,HJ: Sacrifice
760060,Mutant Year Zero: Road to Eden
759390,Fantasy Grounds - Pulp Cthulhu (CoC7E)
759420,Awe of Despair Demo
759610,House of Evil
759010,Escape
759320,Oats Studios - Volume 1: Gdansk
758570,TOMORROW DON'T COME
758500,Loot Box Quest
757730,Shadowcrawl
757910,Away
757180,Wolf & Rabbit
757480,Broken Reality
756360,Linch
756420,Dark Maze
756530,TOKYO GHOUL：re [CALL to EXIST]
756100,Curse of the Old Gods
755440,Oats Studios - Volume 1: LIMA - Trailer
754610,Mars Taken
754870,The Apartment Demo
754310,Deadly Cryptids
754400,Amazeing Lemons
753920,Battle for the last chicken
753930,God's Basement
753980,ARK -the lost fairytale-
754040,Piggy Poggy Pog
754050,Bomb Bots Arena
753640,Outer Wilds
753610,J.A.W.S
753580,The Eerie Adventures Of Kally DEMO
753190,Zero Symptom
753230,STAY
753390,The Eerie Adventures Of Kally
753480,Armored Warfare - T-72AV General’s Pack
753470,Armored Warfare - T-72AV Officer’s Pack
753430,My Big Sister Demo
753520,Armored Warfare - BMPT General’s Pack
753510,Armored Warfare - BMPT Officer’s Pack
753540,The Dream Machine - The Definitive Edition
753020,Harry's Burgers
752470,CINERIS SOMNIA
752590,A Plague Tale: Innocence
752900,Prehistoric Hunt
752020,The Apartment
752050,Virtual Reality Girls
751600,DARKROOM 2
751630,After The Fall
751910,Offensive Dimensions Demo
751470,Deadstep
750610,Garenburg Woods
750080,Dead Climb
750460,WRONGED
749840,The Boogie Man
749890,The Hanged Man
750020,Moving Day
749200,Offensive Dimensions
749250,7th Sector
748700,Speed Dating for Ghosts: Original Soundtrack
748710,Mount Hill Demo
749520,Sakura no Mori † Dreamers
749530,Sakura no Mori † Dreamers Trial Version
748950,Oats Studios - Volume 1: Praetoria
749020,Oats Studios - Volume 1: Bad President
749050,The 111th Soul
747660,Five Nights at Freddy's: Security Breach
747680,Kaet Must Die! Demo
747690,Sinister Halloween
747990,Project Cabin
747220,Pound of Flesh
747250,Half-Life 2: Year Long Alarm
747340,Unforgiving - A Northern Hymn
747350,Hellblade: Senua's Sacrifice VR Edition
747560,DARKROOM
747650,The Padre
746760,Outside
746920,Rapid Tap
746990,Prelude
746400,Speed Dating for Ghosts
746510,Duck Season PC
746420,Broken Minds
746660,Throw Anything
745950,Apparition
746020,Pit of Evil
746220,Monarch of Greed - Act 1
746140,Walking zombie: Shooter
745730,Sunshine Manor
745760,Perceptions of the Dead
744900,Dead Frontier 2
745780,SoulHunt Demo
744940,Blue Whale
745060,Hunter of Antiques
745180,Bike of the Wild
744640,The Waiting Room
744840,Rainbow Six Siege - Year 3 Pass
744190,Rusty Lake Paradise
743770,Stockwrk7
744400,TRATEL64
743920,Choo-Choo! The Train Rides!
744010,Mount Hill
743870,Without Escape Demo
743390,DISTRAINT 2
742900,Sleeping Dawn
742160,Heart of the House Demo
742150,Heart of the House
742310,Waste Walkers Survivor Pack DLC
741990,Wild Animal Sports Day
741500,"John, The Zombie"
741250,The Sand Man
740500,Eseapner
